lineage_name,x_left,y_left,z_left,x_right,y_right,z_right
BAla12,79884.55,62777.9,44500,28131.4,60461.8,44250
BAla34,77689.20002,65754.5,44600,30266.6,62026,45300
BAlc ant,82376.4,62156.6,41950,24133.8,60233.8,41450
BAlc post,81995.50001,61863.10001,43800,24595.5,59131.8,42350
BAlp4,80751.9,61964.7,50350,27120.1,58127.9,50150
BAlp_ant,81044.88,60885.88,51800,27190.9,54165.2,52400
BAmas12_dor--v,73087.19998,67746.4,37050,30372.6,66249.09998,30450
BAmas12_dor--d,70353.2,62981.2,36700,35096.8,61902,35700
BAmas12_ven,72321.6,67153.6,36650,32984,66591.2,35550
BAmd1--v,74429.00001,45042.70002,37200,33614.8,42658.8,32350
BAmd1--d,76681.6,38708.80002,35450,30643.2,34397.6,25700
BAmd2_d,71821.9,43473.9,35450,33736.4,38273.6,27800
BAmd2_v,70004.69999,44761.29999,36250,35220.3,42202.8,30950
BAmv12_dor,70438.7,53825.69998,43200,34726.3,52070,40450
BAmv12_ven,70734.50002,54345.7,43250,34881.2,52510.89998,40550
BAmv3,77915.2,53971.4,35900,29385.4,53268.4,34900
BLAd-OL,88661.99999,42395.70001,70400,16594.6,36407.8,67050
BLAd-vl,93121.79999,37702.4,61900,14365,31826.9,52850
BLAd-vm,92756.90001,37390.9,62450,14202.5,33077.1,50950
BLAl,92761.1,33347.7,59300,14677.5,32490,45700
BLAv12_ant--v,93027.8,43076.8,61700,15791.8,36649.1,56600
BLAv12_ant--d,93822,41796.2,62450,14128.4,35355.2,54800
BLAv12_lat,93338.64,40518.64,62750,13683.8,36946.64,53500
BLAv12_post,92568,43401.10002,63100,14712.1,37518.5,57000
BLAvm ant,94304.6,44471.4,59200,13763.6,42069.8,55250
BLAvm post,93500.9,46588,61150,13970.7,42537.2,55350
BLDc,89303.40001,31879.7,64850,15542,27899.6,55850
BLP12--d,81816.90001,36801.1,69800,24349.7,30483.5,63300
BLP12--v,84280.2,41161.6,68600,22083,34859.6,65300
BLP34,80486.90001,41071.29999,68200,20622.6,34846,69550
BLVa12,83216.2,41003.9,69050,22730,36149.2,65950
BLVa34,86883.00001,48414.90001,67150,20732.8,38792.3,64300
BLVa_lat,87948.29999,47081.80001,66350,19102.6,41133.1,62150
BLVp1,77507.59999,41287,66300,27820.3,35158.6,63000
CM13_lat,66013.6,32915.6,63650,38076,28173.2,58500
CM13_med,65133.9,33968.2,63050,39752.39998,29554.8,58300
CM4-dm,64520.00001,29880.5,56100,40827.2,23952.16,50050
CM4-vm,64467,30899.7,56650,41529.19999,24847.2,49650
CPa,76266,35166.5,68250,27443.6,29149.8,62550
CPbl--v,79102.2,35968.7,69200,25682.3,29508.9,63050
CPbl--d,75382.12,29353.1,68850,26829.9,24926.1,62050
CPb--v,78324.65,35205.1,69250,26961,29951.7,62650
CPb--d,74786.29999,29757,68800,27147.2,24867.2,61750
CPc,75190.6,29871.8,68900,28180.8,24715.2,61100
CPd,73921.4,28978.8,68000,29343.6,23765.2,60850
CPe--d,73505.3,28335.7,68000,30134,23917.2,60950
CPe--v,74417.89998,34420.4,67400,31319.6,28515.2,59500
CPf,73127.2,34648.4,66150,31357.6,27755.2,59600
DALcl12-d,84481.6,34724.4,42000,25104.7,32322.8,34950
DALcl12-v,82270,40211.6,42600,25938.8,37673.2,35900
DALcm12-m,80541,34150.6,36150,28652,33607.2,26450
DALcm12-v,82825.89999,33394.9,42250,26037.6,31813.6,30750
DALd,83922.3,33182.3,42450,25581.6,31281.6,33100
DALv1,83752,42132.5,48150,22743,38737.2,41350
DALv23,86662.8,50788.9,44850,23252.2,48708.4,40100
DAMd1,72126.79999,31033.8,31300,37695.2,26009.9,22050
DAMd23,73066.29998,30564.9,31450,34021.4,29902.2,23100
DAMv12_lat,68536.8,34447,31500,39580.8,30954.8,23150
DAMv12_med,69288.60002,34535.7,31500,40090,31163.8,23000
DPlal1-3_ant,91837.45,33636.65,53600,14926.5,31301.2,45400
DPlal1-3at,92111.05,33430.5,54950,15146.8,30438,46450
DPLam,87801.49998,28547.5,51950,19957.6,26782.4,38800
DPLc5,72212.40001,21851,56150,34317.8,18956.9,42850
DPLc_ant_lat,82794.4,21213.5,52150,24489.1,19053.2,41600
DPLc_post_lat,84405.6,21280,58100,21033,18821.4,46150
DPLd,84895.8,25900.8,47650,23829.8,24133.8,35300
DPLl--d,86505.40001,23352.6,61000,18734,19551,55500
DPLl--v,87916.8,24767.1,62350,17753.6,20280.6,54700
DPLm1,80415.6,19513,61750,24914.7,16179.1,50400
DPLm2,82190.2,19839.8,61700,23926.7,16324.8,48800
DPLp,85754.6,27181.4,68100,18620.9,22156.8,59050
DPMl12,68216.59999,24592.7,55800,36749.8,20932.3,47500
DPMl_ant_dor,67970.6,22140.7,48100,39322.4,18620,35900
DPMm1,65658.3,25545.6,36750,44782.10001,22774.3,30000
DPMm2,65915.60001,25726.5,50600,40179.3,21255.3,43500
DPMpl12,65427.39999,26157,56500,38653.6,20390.8,44600
DPMpm1,65296.70002,26385.8,48100,41359.2,22108.4,39350
DPMpm2,63106.6,27090.4,55950,38761.9,21483.3,44300
TRdl ant,75808.48,67986.56,39550,30474.1,66179.90001,38400
TRdl post,77778.4,67524.1,41500,30590,65774.2,40000
